9,6.33,-3.55,0.25,0.01,0.01
8.5,6.10,-3.88,0.25,0.01,0.01
8,5.58,-4.33,0.25,0.01,0.01
7.5,4.49,-5.35,0.25,0.01,0.01
7,3.14,-7.14,0.25,0.01,0.01
6.5,0.11,-9.87,0.25,0.01,0.01
6,-4.72,-14.69,0.25,0.01,0.01
5.5,-10.23,-21.50,0.25,0.01,0.01
5,-17.53,-29.29,0.25,0.01,0.01
4.5,-25.03,-40,0.25,0.01,0.01
