9,8.71,974,0.25,0.01,1
8.5,8.44,939,0.25,0.01,1
8,7.93,883,0.25,0.01,1
7.5,6.83,781,0.25,0.01,1
7,5.06,640,0.25,0.01,1
6.5,1.88,447,0.25,0.01,1
6,-2.48,245,0.25,0.01,1
5.5,-8.46,98,0.25,0.01,1
5,-15.79,30,0.25,0.01,1
4.5,-23.29,6.5,0.25,0.01,1
